player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Caleb Brown,142878,T,MWSTATE,1,100.0,0,983,72.6,77.2,68.0,0,1,29,100.0,100.0,98.3,0,1,0,60,0,0,0,60,31,31,0,60,29,0
Darrius Sample,155649,QB,VA LYNCHBU,5,31.3,0,406,26.3,,60.0,0,0,0,0.0,0.0,,2,0,0,60,0,0,0,192,0,121,0,0,60,0
Xavier Jackson,151965,T,LOUCOL,1,100.0,0,958,36.5,19.3,43.9,1,2,27,100.0,100.0,94.4,0,3,0,60,0,0,0,60,29,29,0,60,31,0
Arthur Stone,155354,T,ELIZBTH ST,1,100.0,0,373,57.0,59.3,52.3,0,2,46,100.0,100.0,93.5,0,4,2,60,0,0,0,60,48,48,0,60,12,0
Mathew Weatherford,120832,C,ELIZBTH ST,1,100.0,0,373,58.2,74.0,49.9,0,1,46,100.0,100.0,98.9,0,1,0,60,60,0,0,60,48,48,0,0,12,0
Jashone Sellers,155350,G,ELIZBTH ST,1,100.0,0,373,55.6,62.1,49.5,0,2,46,100.0,100.0,97.8,0,2,0,60,0,0,0,60,48,48,60,0,12,0
Zayvion Davis,155314,G,ELIZBTH ST,1,100.0,0,373,44.8,25.4,45.0,0,4,46,100.0,100.0,93.5,0,5,1,60,0,60,0,60,48,48,0,0,12,0
Cam Johnson,41447,T,FRTVLY,1,100.0,0,874,31.8,8.9,48.3,1,3,47,100.0,100.0,91.5,0,6,2,60,0,0,0,60,49,49,0,60,11,0
Jaelin Shaw,155488,T,WSRAMS,1,100.0,0,1206,60.2,75.0,50.4,0,2,39,100.0,100.0,97.4,1,2,0,59,0,0,59,59,40,40,0,0,19,0
Darius McDuffie,155474,C,WSRAMS,1,100.0,0,1206,54.7,48.0,56.1,0,2,39,100.0,100.0,97.4,0,2,0,59,59,0,0,59,40,40,0,0,19,0
Christian Butenschoen,106665,G,SIMONFRA,1,100.0,1,1097,42.9,40.7,50.1,0,0,21,100.0,100.0,95.2,3,1,1,59,0,59,0,59,21,21,0,0,38,0
Sean Rubin,155055,T,UFTLEA,1,100.0,0,1458,21.9,0.0,65.0,1,3,39,100.0,100.0,92.3,0,5,1,59,0,0,59,59,42,42,0,0,17,0
Kai Tinker,153455,C,SIMONFRA,1,100.0,0,1097,55.5,56.6,55.6,0,0,21,100.0,100.0,95.2,0,1,1,59,59,0,0,59,21,21,0,0,38,0
Jacob Anderson,153458,T,SIMONFRA,1,100.0,1,1097,25.5,0.0,45.5,0,1,21,100.0,100.0,88.1,1,3,2,59,0,0,59,59,21,21,0,0,38,0
Aidan Corning,153461,T,SIMONFRA,1,100.0,0,1097,43.6,36.2,45.9,0,0,21,100.0,100.0,100.0,0,0,0,59,0,0,0,59,21,21,0,59,38,0
Reuben Buchanan,153460,G,SIMONFRA,1,100.0,0,1097,62.7,83.1,59.7,0,0,21,100.0,100.0,100.0,0,0,0,59,0,0,0,59,21,21,59,0,38,0
Joshua Peoples,155479,G,WSRAMS,1,100.0,0,1206,50.9,37.0,51.0,1,0,39,100.0,100.0,98.7,1,1,0,59,0,0,0,59,40,40,59,0,19,0
Elliott Howell,155601,T,TUSKEGEE,2,100.0,0,405,27.7,14.9,29.6,2,3,39,100.0,100.0,91.0,0,6,1,57,0,0,57,57,39,39,0,0,18,0
Malik Bellamy,153378,C,BOWIE ST,1,100.0,0,365,65.7,75.7,61.0,0,1,38,100.0,100.0,98.7,0,1,0,57,57,0,0,57,40,40,0,0,17,0
Deondre Harvey,112253,TE,MILES,2,83.8,0,386,55.3,34.8,49.3,0,1,5,31.3,31.3,90.0,0,1,0,57,0,0,2,68,5,16,0,2,52,40
Dalton Norris,154963,G,MITECH,1,100.0,0,980,56.4,83.6,55.5,1,0,31,100.0,100.0,98.4,1,1,0,56,0,56,0,56,31,31,0,0,25,0
Christopher Brown,111092,WR,MILES,2,62.9,0,386,57.4,,60.3,0,0,0,0.0,0.0,,0,0,0,56,0,0,0,89,0,33,0,0,56,0
Brian Gibson,110012,T,VIRUNI,1,100.0,0,1165,66.6,65.4,65.2,0,1,33,100.0,100.0,95.5,0,2,1,55,0,0,0,55,34,34,0,55,21,0
Mark Lawton,154675,C,VIRUNI,1,100.0,0,1165,69.1,60.0,69.0,0,0,33,100.0,100.0,100.0,0,0,0,55,55,0,0,55,34,34,0,0,21,0
Justin Meade,113064,G,VIRUNI,1,100.0,0,1165,66.7,74.6,64.9,0,1,33,100.0,100.0,98.5,0,1,0,55,0,0,0,55,34,34,55,0,21,0
Larry Jones III,154625,G,VIRUNI,1,100.0,0,1165,62.0,28.9,69.2,0,0,33,100.0,100.0,100.0,0,0,0,55,0,55,0,55,34,34,0,0,21,0
Savion Hopes,64280,T,VIRUNI,1,100.0,0,1165,51.0,55.3,47.8,0,3,32,100.0,100.0,95.3,0,3,0,54,0,0,54,54,33,33,0,0,21,0
